,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
276,the elephant man,"biography, drama",victorian surgeon rescu heavili disfigur man mistreat scrape live sideshow freak behind monstrou faad reveal person kind intellig sophist,david lynch,anthony hopkins,john hurt,anne bancroft,john gielgud,"the elephant man biography, drama victorian surgeon rescu heavili disfigur man mistreat scrape live sideshow freak behind monstrou faad reveal person kind intellig sophist david lynch anthony hopkins john hurt anne bancroft john gielgud"
277,life of brian,comedy,born origin christma stabl next door jesu christ brian nazareth spend life mistaken messiah,terry jones,graham chapman,john cleese,michael palin,terry gilliam,life of brian comedy born origin christma stabl next door jesu christ brian nazareth spend life mistaken messiah terry jones graham chapman john cleese michael palin terry gilliam
278,the deer hunter,"drama, war",indepth examin way us vietnam war impact disrupt live peopl small industri town pennsylvania,michael cimino,robert de niro,christopher walken,john cazale,john savage,"the deer hunter drama, war indepth examin way us vietnam war impact disrupt live peopl small industri town pennsylvania michael cimino robert de niro christopher walken john cazale john savage"
279,rocky,"drama, sport",smalltim boxer get suprem rare chanc fight heavyweight champion bout strive go distanc selfrespect,john g. avildsen,sylvester stallone,talia shire,burt young,carl weathers,"rocky drama, sport smalltim boxer get suprem rare chanc fight heavyweight champion bout strive go distanc selfrespect john g. avildsen sylvester stallone talia shire burt young carl weathers"
280,network,drama,televis network cynic exploit derang former anchor rave revel news media profit,sidney lumet,faye dunaway,william holden,peter finch,robert duvall,network drama televis network cynic exploit derang former anchor rave revel news media profit sidney lumet faye dunaway william holden peter finch robert duvall
281,barry lyndon,"adventure, drama, history",irish rogu win heart rich widow assum dead husband aristocrat posit thcenturi england,stanley kubrick,ryan o'neal,marisa berenson,patrick magee,hardy krüger,"barry lyndon adventure, drama, history irish rogu win heart rich widow assum dead husband aristocrat posit thcenturi england stanley kubrick ryan o'neal marisa berenson patrick magee hardy krüger"
282,zerkalo,"biography, drama",die man forti rememb past childhood mother war person moment thing tell recent histori russian nation,andrei tarkovsky,margarita terekhova,filipp yankovskiy,ignat daniltsev,oleg yankovskiy,"zerkalo biography, drama die man forti rememb past childhood mother war person moment thing tell recent histori russian nation andrei tarkovsky margarita terekhova filipp yankovskiy ignat daniltsev oleg yankovskiy"
283,chinatown,"drama, mystery, thriller",privat detect hire expos adulter find caught web deceit corrupt murder,roman polanski,jack nicholson,faye dunaway,john huston,perry lopez,"chinatown drama, mystery, thriller privat detect hire expos adulter find caught web deceit corrupt murder roman polanski jack nicholson faye dunaway john huston perry lopez"
284,paper moon,"comedy, crime, drama",great depress con man find saddl young girl may may daughter two forg unlik partnership,peter bogdanovich,ryan o'neal,tatum o'neal,madeline kahn,john hillerman,"paper moon comedy, crime, drama great depress con man find saddl young girl may may daughter two forg unlik partnership peter bogdanovich ryan o'neal tatum o'neal madeline kahn john hillerman"
285,viskningar och rop,drama,woman die cancer earli twentiethcenturi sweden visit two sister longrepress feel sibl rise surfac,ingmar bergman,harriet andersson,liv ullmann,kari sylwan,ingrid thulin,viskningar och rop drama woman die cancer earli twentiethcenturi sweden visit two sister longrepress feel sibl rise surfac ingmar bergman harriet andersson liv ullmann kari sylwan ingrid thulin
286,solaris,"drama, mystery, sci-fi",psychologist sent station orbit distant planet order discov caus crew go insan,andrei tarkovsky,natalya bondarchuk,donatas banionis,jüri järvet,vladislav dvorzhetskiy,"solaris drama, mystery, sci-fi psychologist sent station orbit distant planet order discov caus crew go insan andrei tarkovsky natalya bondarchuk donatas banionis jüri järvet vladislav dvorzhetskiy"
287,le samouraï,"crime, drama, mystery",profession hitman jef costello seen wit effort provid alibi drive corner,jean-pierre melville,alain delon,françois périer,nathalie delon,cathy rosier,"le samouraï crime, drama, mystery profession hitman jef costello seen wit effort provid alibi drive corner jean-pierre melville alain delon françois périer nathalie delon cathy rosier"
288,cool hand luke,"crime, drama",laid back southern man sentenc two year rural prison refus conform,stuart rosenberg,paul newman,george kennedy,strother martin,j.d. cannon,"cool hand luke crime, drama laid back southern man sentenc two year rural prison refus conform stuart rosenberg paul newman george kennedy strother martin j.d. cannon"
289,persona,"drama, thriller",nurs put charg mute actress find persona meld togeth,ingmar bergman,bibi andersson,liv ullmann,margaretha krook,gunnar björnstrand,"persona drama, thriller nurs put charg mute actress find persona meld togeth ingmar bergman bibi andersson liv ullmann margaretha krook gunnar björnstrand"
290,andrei rublev,"biography, drama, history",life time afflict fifteenthcenturi russian iconograph st andrei rublev,andrei tarkovsky,anatoliy solonitsyn,ivan lapikov,nikolay grinko,nikolay sergeev,"andrei rublev biography, drama, history life time afflict fifteenthcenturi russian iconograph st andrei rublev andrei tarkovsky anatoliy solonitsyn ivan lapikov nikolay grinko nikolay sergeev"
291,la battaglia di algeri,"drama, war",fear violenc escal peopl algier fight independ french govern,gillo pontecorvo,brahim hadjadj,jean martin,yacef saadi,samia kerbash,"la battaglia di algeri drama, war fear violenc escal peopl algier fight independ french govern gillo pontecorvo brahim hadjadj jean martin yacef saadi samia kerbash"
292,el ángel exterminador,"drama, fantasy",guest upperclass dinner parti find unabl leav,luis buñuel,silvia pinal,jacqueline andere,enrique rambal,josé baviera,"el ángel exterminador drama, fantasy guest upperclass dinner parti find unabl leav luis buñuel silvia pinal jacqueline andere enrique rambal josé baviera"
293,what ever happened to baby jane?,"drama, horror, thriller",former child star torment parapleg sister decay hollywood mansion,robert aldrich,bette davis,joan crawford,victor buono,wesley addy,"what ever happened to baby jane? drama, horror, thriller former child star torment parapleg sister decay hollywood mansion robert aldrich bette davis joan crawford victor buono wesley addy"
294,sanjuro,"action, comedy, crime",crafti samurai help young man fellow clansmen save uncl frame imprison corrupt superintend,akira kurosawa,toshirô mifune,tatsuya nakadai,keiju kobayashi,yûnosuke itô,"sanjuro action, comedy, crime crafti samurai help young man fellow clansmen save uncl frame imprison corrupt superintend akira kurosawa toshirô mifune tatsuya nakadai keiju kobayashi yûnosuke itô"
295,the man who shot liberty valance,"drama, western",senat return western town funer old friend tell stori origin,john ford,james stewart,john wayne,vera miles,lee marvin,"the man who shot liberty valance drama, western senat return western town funer old friend tell stori origin john ford james stewart john wayne vera miles lee marvin"
296,ivanovo detstvo,"drama, war",ww twelv year old soviet orphan ivan bondarev work soviet armi scout behind german line strike friendship three sympathet soviet offic,andrei tarkovsky,eduard abalov,nikolay burlyaev,valentin zubkov,evgeniy zharikov,"ivanovo detstvo drama, war ww twelv year old soviet orphan ivan bondarev work soviet armi scout behind german line strike friendship three sympathet soviet offic andrei tarkovsky eduard abalov nikolay burlyaev valentin zubkov evgeniy zharikov"
297,jungfrukällan,drama,innoc yet pamper young virgin famili pregnant jealou servant set deliv candl church one return event transpir wood along way,ingmar bergman,max von sydow,birgitta valberg,gunnel lindblom,birgitta pettersson,jungfrukällan drama innoc yet pamper young virgin famili pregnant jealou servant set deliv candl church one return event transpir wood along way ingmar bergman max von sydow birgitta valberg gunnel lindblom birgitta pettersson
298,inherit the wind,"biography, drama, history",base reallif case two great lawyer argu case scienc teacher accus crime teach evolut,stanley kramer,spencer tracy,fredric march,gene kelly,dick york,"inherit the wind biography, drama, history base reallif case two great lawyer argu case scienc teacher accus crime teach evolut stanley kramer spencer tracy fredric march gene kelly dick york"
299,les quatre cents coups,"crime, drama",young boy left without attent delv life petti crime,françois truffaut,jean-pierre léaud,albert rémy,claire maurier,guy decomble,"les quatre cents coups crime, drama young boy left without attent delv life petti crime françois truffaut jean-pierre léaud albert rémy claire maurier guy decomble"
300,ben-hur,"adventure, drama, history",jewish princ betray sent slaveri roman friend regain freedom come back reveng,william wyler,charlton heston,jack hawkins,stephen boyd,haya harareet,"ben-hur adventure, drama, history jewish princ betray sent slaveri roman friend regain freedom come back reveng william wyler charlton heston jack hawkins stephen boyd haya harareet"
301,kakushi-toride no san-akunin,"adventure, drama",lure gold two greedi peasant unknowingli escort princess gener across enemi line,akira kurosawa,toshirô mifune,misa uehara,minoru chiaki,kamatari fujiwara,"kakushi-toride no san-akunin adventure, drama lure gold two greedi peasant unknowingli escort princess gener across enemi line akira kurosawa toshirô mifune misa uehara minoru chiaki kamatari fujiwara"
302,le notti di cabiria,drama,waifish prostitut wander street rome look true love find heartbreak,federico fellini,giulietta masina,françois périer,franca marzi,dorian gray,le notti di cabiria drama waifish prostitut wander street rome look true love find heartbreak federico fellini giulietta masina françois périer franca marzi dorian gray
303,kumonosu-jô,"drama, history",warharden gener eg ambiti wife work fulfil propheci would becom lord spider web castl,akira kurosawa,toshirô mifune,minoru chiaki,isuzu yamada,takashi shimura,"kumonosu-jô drama, history warharden gener eg ambiti wife work fulfil propheci would becom lord spider web castl akira kurosawa toshirô mifune minoru chiaki isuzu yamada takashi shimura"
304,the bridge on the river kwai,"adventure, drama, war",british pow forc build railway bridg across river kwai japanes captor know alli forc plan destroy,david lean,william holden,alec guinness,jack hawkins,sessue hayakawa,"the bridge on the river kwai adventure, drama, war british pow forc build railway bridg across river kwai japanes captor know alli forc plan destroy david lean william holden alec guinness jack hawkins sessue hayakawa"
305,on the waterfront,"crime, drama, thriller",expriz fighter turn longshoreman struggl stand corrupt union boss,elia kazan,marlon brando,karl malden,lee j. cobb,rod steiger,"on the waterfront crime, drama, thriller expriz fighter turn longshoreman struggl stand corrupt union boss elia kazan marlon brando karl malden lee j. cobb rod steiger"
306,le salaire de la peur,"adventure, drama, thriller",decrepit south american villag four men hire transport urgent nitroglycerin shipment without equip would make safe,henri-georges clouzot,yves montand,charles vanel,peter van eyck,folco lulli,"le salaire de la peur adventure, drama, thriller decrepit south american villag four men hire transport urgent nitroglycerin shipment without equip would make safe henri-georges clouzot yves montand charles vanel peter van eyck folco lulli"
307,ace in the hole,"drama, film-noir",frustrat former bigciti journalist stuck work albuquerqu newspap exploit stori man trap cave rekindl career situat quickli escal outofcontrol circu,billy wilder,kirk douglas,jan sterling,robert arthur,porter hall,"ace in the hole drama, film-noir frustrat former bigciti journalist stuck work albuquerqu newspap exploit stori man trap cave rekindl career situat quickli escal outofcontrol circu billy wilder kirk douglas jan sterling robert arthur porter hall"
